Id,Attributes,
APP\TEN\008063, black,  Application
48048, black,  Application
APP\PREMISES-VARYDPS\001601, black,  Application
APP\TEN\010085, black,  Application
APP\TEN\001100, black,  Application
APP\TEN\010865, black,  Application
APP\TEN\009480, black,  Application
APP\PERSONAL-NEW\001020, black,  Application
APP\PREMISES-NEW\000720, black,  Application
APP\PREMISES-VARYDPS\001462, black,  Application
APP\PREMISES-VARYDPS\002946, black,  Application
Marks and Spencer, blue,  Premise
APP\TEN\008092, black,  Application
APP\PREMISES-VARY\000261, black,  Application
APP\SE-RENW\00269, black,  Application
APP\PERSONAL-NEW\002768, black,  Application
44839, black,  Application
APP\PREMISES-MVARY\00271, black,  Application
APP\LATE-TEN\000411, black,  Application
APP\PREMISES-NEW\000038, black,  Application
APP\TEN\003769, black,  Application
GGN\00179, black,  Application
The Hope Pub, blue,  Premise
Lauderdale House, blue,  Premise
APP\TEN\008169, black,  Application
APP\PERSONAL-NEW\001884, black,  Application
APP\TEN\010748, black,  Application
APP\PREMISES-CONV\000990, black,  Application
Lemoge Clinic, blue,  Premise
APP\PERSONAL-CONV\000070, black,  Application
APP\PERSONAL-NEW\000853, black,  Application
APP\PREMISES-TRANS\000419, black,  Application
APP\TEN\000647, black,  Application
APP\PREMISES-VARYDPS\001528, black,  Application
Corner of Neal Street & Short Gardens, blue,  Premise
APP\TEN\010331, black,  Application
APP\PREMISES-VARYDPS\001237, black,  Application
APP\LATE-TEN\001893, black,  Application
APP\TEN\004038, black,  Application
Fitzroy Cleaners, blue,  Premise
APP\TEN\011744, black,  Application
46294, black,  Application
APP\PREMISES-VARYDPS\003281, black,  Application
APP\TEN\001286, black,  Application
APP\TEN\011608, black,  Application
APP\TEN\011032, black,  Application
2011/3779/TC, black,  Application
APP\PERSONAL-NEW\001914, black,  Application
APP\PREMISES-PROV\000007, black,  Application
APP\PREMISES-C-DPS\0045, black,  Application
APP\PERSONAL-NEW\000050, black,  Application
APP\PREMISES-VARYDPS\003829, black,  Application
APP\PREMISES-NEW\000202, black,  Application
APP\TEN\001741, black,  Application
