Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
APP\TEN\000967,Temporary Event Notice,Haverstock School,"24 HAVERSTOCK SCHOOL HAVERSTOCK HILL, LONDON, NW3 2BQ",LA2003,Application Approved,No,08/01/2007,,,,05/01/2007,03/01/2007,,Camden Town,E05000136,Haverstock,528121.72,184523.75,-0.153769,51.545084,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.545084, -0.153769)",20196,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\008911,Temporary Event Notice,Fiddlers Elbow,"1 MALDEN ROAD, LONDON, NW5 3HS",LA2003,Application Approved,No,03/01/2013,,,,07/01/2013,02/01/2013,,,E05000136,Haverstock,528302.9,184639.18,-0.151116,51.54608,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.54608, -0.151116)",12703,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\004528,Temporary Event Notice,Del Aziz,"1 ADELAIDE ROAD, LONDON, NW3 3QE",LA2003,Application Approved,No,15/01/2010,,,,10/01/2010,08/01/2010,,Camden Town,E05000136,Haverstock,528161.47,184381.14,-0.153248,51.543793,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.543793, -0.153248)",16825,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001589,Temporary Event Notice,Romo Deli,"89 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,09/10/2007,,,,06/10/2007,04/10/2007,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.543994, -0.151855)",19629,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\002345,Premises - Variation of DPS,Nando's,"227 KENTISH TOWN ROAD, LONDON, NW5 2JU",LA2003,Application Approved In Full,No,20/03/2012,,,,13/03/2012,28/02/2012,,,E05000139,Kentish Town,528951.56,184884.61,-0.141677,51.548138,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.548138, -0.141677)",24115,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000485,Temporary Event Notice,Spring Studios,"10 SPRING HOUSE SPRING PLACE, LONDON, NW5 3BH",LA2003,Application Approved,No,12/07/2006,,,,12/07/2006,10/07/2006,,,E05000134,Gospel Oak,528502.77,185056.03,-0.148083,51.549781,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.549781, -0.148083)",20630,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\008016,Temporary Event Notice,Nisa (formerly Leighton Arms),"101 BRECKNOCK ROAD, LONDON, N7 0DA",LA2003,Application Rejected,No,,,,19/06/2012,08/06/2012,05/06/2012,,,E05000139,Kentish Town,529549.72,185368.07,-0.132877,51.552346,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.552346, -0.132877)",13560,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009237,Temporary Event Notice,The Abbey Tavern,"124 KENTISH TOWN ROAD, LONDON, NW1 9QB",LA2003,Application Approved,No,14/05/2013,,,,16/05/2013,13/05/2013,,,E05000131,Cantelowes,529008.65,184633.75,-0.140946,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.54587, -0.140946)",12408,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\011606,Temporary Event Notice,Friends of Kentish Town C of E School,"KENTISH TOWN PRIMARY SCHOOL ISLIP STREET, LONDON, NW5 2TU",LA2003,Application Approved,No,23/06/2015,,,,25/06/2015,22/06/2015,,,E05000139,Kentish Town,529106.76,185072.75,-0.139371,51.549793,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.549793, -0.139371)",10276,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\001249,Premises Licence - Transfer Application,Nisa (formerly Leighton Arms),"101 BRECKNOCK ROAD, LONDON, N7 0DA",LA2003,Application Approved In Full,No,27/06/2014,,,,26/06/2014,12/06/2014,,,E05000139,Kentish Town,529549.72,185368.07,-0.132877,51.552346,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.552346, -0.132877)",27048,http://opendatacommunities.org/id/london-borough-council/camden
