Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
APP\TEN\006065,Temporary Event Notice,Garden Gate,"14 SOUTH END ROAD, LONDON, NW3 2QE",LA2003,Application Rejected,No,,,,,09/02/2011,07/02/2011,08/02/2011,,E05000134,Gospel Oak,527274.81,185572.58,-0.165596,51.554701,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.554701, -0.165596)",15355,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010806,Temporary Event Notice,Torriano,"71  73 TORRIANO AVENUE, LONDON, NW5 2SG",LA2003,Application Approved,No,16/10/2014,,,,17/10/2014,14/10/2014,,,E05000139,Kentish Town,529548.11,185131.6,-0.132987,51.550221,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.550221, -0.132987)",11010,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006414,Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,11/05/2011,,,,,03/05/2011,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.543994, -0.151855)",15035,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006961,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,TEN Withdrawn,No,,,,,05/10/2011,03/10/2011,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.543877, -0.132175)",14545,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009566,Temporary Event Notice,Centrale Delicatessen,"43 CHALK FARM ROAD, LONDON, NW1 8AJ",LA2003,Application Approved,No,12/09/2013,,,,09/09/2013,04/09/2013,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.54314, -0.148383)",12127,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010451,Temporary Event Notice,Chalk Farm Grill,"18 HAVERSTOCK HILL, LONDON, NW3 2BL",LA2003,Application Rejected - Incomplete Documentation,No,,,,,12/06/2014,08/06/2014,09/06/2014,Camden Town,E05000136,Haverstock,528190.18,184432.25,-0.152816,51.544246,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.544246, -0.152816)",11321,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\002705,Temporary Event Notice,Belsize Wood Nature Reserve,"BELSIZE WOOD WOODLAND WALK,",LA2003,Application Rejected,No,,,,,24/09/2008,22/09/2008,03/10/2008,,E05000134,Gospel Oak,527515.37,185323.07,-0.162219,51.552404,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.552404, -0.162219)",18620,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001627,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,Application Approved,No,19/10/2007,,,,17/10/2007,15/10/2007,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.543877, -0.132175)",19592,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\001315,Premises - Variation of DPS,New Market Inn,"17 YORK WAY, LONDON, N7 9QG",LA2003,Application Approved,No,12/03/2008,,,,11/03/2009,25/02/2009,,,E05000131,Cantelowes,530004.99,184347.96,-0.126691,51.543074,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.543074, -0.126691)",25089,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\002064,Premises - Variation of DPS,New Market Inn,"17 YORK WAY, LONDON, N7 9QG",LA2003,Application Approved In Full,No,15/04/2011,,,,08/04/2011,25/03/2011,,,E05000131,Cantelowes,530004.99,184347.96,-0.126691,51.543074,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.543074, -0.126691)",24380,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\008257,Temporary Event Notice,Cantelowes Gardens & Busby Place,"CANTELOWES GARDENS CAMDEN ROAD,",LA2003,Application Approved,No,31/07/2012,,,,02/08/2012,30/07/2012,,,E05000131,Cantelowes,529523.98,184757.7,-0.133473,51.546866,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.546866, -0.133473)",13327,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001886,Temporary Event Notice,Spring Studios,"10 SPRING HOUSE SPRING PLACE, LONDON, NW5 3BH",LA2003,Application Approved,No,29/11/2007,,,,30/11/2007,28/11/2007,,,E05000134,Gospel Oak,528502.77,185056.03,-0.148083,51.549781,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.549781, -0.148083)",19345,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003487,Temporary Event Notice,Spring Studios,"10 SPRING HOUSE SPRING PLACE, LONDON, NW5 3BH",LA2003,Application Approved,No,21/04/2009,,,,10/04/2009,08/04/2009,,,E05000134,Gospel Oak,528502.77,185056.03,-0.148083,51.549781,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.549781, -0.148083)",17877,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007458,Temporary Event Notice,Talacre Open Space,"TALACRE OPEN SPACE DALBY STREET, LONDON, NW5 3NH",LA2003,Application Approved,No,19/01/2012,,,,15/12/2011,13/12/2011,,,E05000136,Haverstock,528582.39,184718.34,-0.147058,51.546728,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.546728, -0.147058)",14081,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\001351,Premises Licence - Transfer Application,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Approved In Full,No,08/04/2015,,,,16/04/2015,02/04/2015,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.55423, -0.144109)",26948,http://opendatacommunities.org/id/london-borough-council/camden
2017/2463/TC,Table and Chairs,JOE'S,"78-79 Chalk Farm Road, London, NW1 8AR",TC,Current,3,,,,,,,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.543994, -0.151855)",34252,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\001584,Premises - New Licence,Raja Convenience Store,"114A116 FORTESS ROAD, LONDON, NW5 2HL",LA2003,Application Approved In Full,No,14/11/2015,,,,13/11/2015,16/10/2015,,,E05000139,Kentish Town,529107.97,185711.65,-0.139119,51.555534,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.555534, -0.139119)",28577,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006635,Temporary Event Notice,The Abbey Tavern,"124 KENTISH TOWN ROAD, LONDON, NW1 9QB",LA2003,Application Approved,No,22/07/2011,,,,21/07/2011,19/07/2011,,,E05000131,Cantelowes,529008.65,184633.75,-0.140946,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.54587, -0.140946)",14845,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009540,Temporary Event Notice,Drama Centre London Ltd,"176 PRINCE OF WALES ROAD, LONDON, NW5 3PT",LA2003,Application Approved,No,06/09/2013,,,,10/09/2013,05/09/2013,,,E05000136,Haverstock,528149.59,184653.17,-0.15332,51.54624,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.54624, -0.15332)",12151,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007757,Temporary Event Notice,Vine,"86 HIGHGATE ROAD, LONDON, NW5 1PB",LA2003,Application Approved,No,03/04/2012,,,,01/04/2012,30/03/2012,,,E05000139,Kentish Town,528724.43,185624.2,-0.14468,51.554836,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.554836, -0.14468)",13804,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006403,Temporary Event Notice,Garden Gate,"14 SOUTH END ROAD, LONDON, NW3 2QE",LA2003,Application Approved,No,10/05/2011,,,,,10/05/2011,,,E05000134,Gospel Oak,527274.81,185572.58,-0.165596,51.554701,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.554701, -0.165596)",15044,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\003711,Premises - Variation of DPS,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Approved In Full,No,21/08/2015,,,,20/08/2015,06/08/2015,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.55423, -0.144109)",22842,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\000873,Premises Licence - Transfer Application,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved In Full,No,06/02/2012,,,,25/01/2012,11/01/2012,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.543994, -0.151855)",27388,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-C-LIC\0199,Premises - Change of Licensee name/address,Kentish Town Supermarket,"175 KENTISH TOWN ROAD, LONDON, NW1 8PD",LA2003,Application Approved In Full,No,30/11/2015,,,,,25/11/2015,,,E05000139,Kentish Town,528908.35,184637.93,-0.14239,51.545931,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.545931, -0.14239)",31963,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-MVARY\00183,Premises - Minor Variation of Licence,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application in Progress,No,,,,,21/06/2010,07/06/2010,01/07/2010,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.543994, -0.151855)",30428,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000409,Temporary Event Notice,St Dominic's Priory,"ST DOMINICS PRIORY SOUTHAMPTON ROAD, LONDON, NW5 4LB",LA2003,Application Approved,No,07/06/2006,,,,04/06/2006,02/06/2006,,,E05000136,Haverstock,527860.91,185135.02,-0.157306,51.550636,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.550636, -0.157306)",20700,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007333,Temporary Event Notice,Nisa (formerly Leighton Arms),"101 BRECKNOCK ROAD, LONDON, N7 0DA",LA2003,Application Rejected,No,,,,,30/11/2011,28/11/2011,30/11/2011,,E05000139,Kentish Town,529549.72,185368.07,-0.132877,51.552346,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.552346, -0.132877)",14201,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010718,Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,24/09/2014,,,,26/09/2014,23/09/2014,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.543994, -0.151855)",11090,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003786,Temporary Event Notice,Camden New Town Community Fesitval,"156 ST PAUL'S CRESCENT, LONDON, NW1 9XZ",LA2003,Application Approved,No,21/07/2009,,,,12/07/2009,10/07/2009,,,E05000131,Cantelowes,529871.54,184153.63,-0.128686,51.541358,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.541358, -0.128686)",17590,http://opendatacommunities.org/id/london-borough-council/camden
043661,Street Trading  - Renewal Application,QC14,"Queen's Crescent, London,",N/A,Open,No,,,,,,03/08/2010,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",36206,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006650,Temporary Event Notice,Map Music Ltd,"46 GRAFTON ROAD, LONDON, NW5 3DU",LA2003,Application Approved,No,25/07/2011,,,,22/07/2011,20/07/2011,,,E05000139,Kentish Town,528767.82,184818.38,-0.144349,51.547585,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.547585, -0.144349)",14831,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000541,Temporary Event Notice,Grafton Arms,"20 PRINCE OF WALES ROAD, LONDON, NW5 3LG",LA2003,Application Rejected,No,,,,,17/08/2006,15/08/2006,17/08/2006,,E05000139,Kentish Town,528728.59,184759.16,-0.144936,51.547061,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.547061, -0.144936)",20583,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000290,Premises - New Licence,Joe's Southern Table & Bar,"298 302 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Rejected,No,,,,,08/03/2006,08/02/2006,06/03/2006,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.551065, -0.140306)",29704,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\011295,Temporary Event Notice,ST PATRICKS PRIMARY SCHOOL,"ST PATRICKS PRIMARY SCHOOL HOLMES ROAD, LONDON, NW5 3AH",LA2003,Application Approved,No,11/03/2015,,,,13/03/2015,10/03/2015,,,E05000139,Kentish Town,528862.77,185005.12,-0.142912,51.549241,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.549241, -0.142912)",10559,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012400,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,Application Approved,No,05/02/2016,,,,09/02/2016,04/02/2016,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.543877, -0.132175)",9553,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\001420,Premises Licence - Transfer Application,02 Forum,"9  17 HIGHGATE ROAD, LONDON, NW5 1JY",LA2003,Application Approved In Full,No,11/01/2016,,,,20/11/2015,06/11/2015,,,E05000139,Kentish Town,528923.29,185300.87,-0.141932,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.551885, -0.141932)",26880,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\003166,Premises - Variation of DPS,Haverstock Arms,"154 HAVERSTOCK HILL, LONDON, NW3 2AY",LA2003,Application Approved,No,,,,,25/04/2014,11/04/2014,,,E05000134,Gospel Oak,527554.48,184953.76,-0.161789,51.549077,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.549077, -0.161789)",23351,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-MVARY\00242,Premises - Minor Variation of Licence,Vine,"86 HIGHGATE ROAD, LONDON, NW5 1PB",LA2003,Application Rejected,No,,,,,29/04/2011,15/04/2011,19/04/2011,,E05000139,Kentish Town,528724.43,185624.2,-0.14468,51.554836,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.554836, -0.14468)",30377,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\001825,Premises - Variation of DPS,Assembly House,"292 294 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved In Full,No,07/09/2010,,,,27/08/2010,13/08/2010,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.551065, -0.140306)",24610,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012889,Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,03/09/2016,,,,30/08/2016,25/08/2016,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.543994, -0.151855)",9116,http://opendatacommunities.org/id/london-borough-council/camden
045977,Street Trading - New Application,Queens Crescent Market,"Queen's Crescent, London,",N/A,Open,No,,,,,,06/06/2011,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",35923,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001063,Temporary Event Notice,Cantelowes Skateboard Park,"CANTELOWES GARDENS CAMDEN ROAD,",LA2003,Application Approved,No,12/02/2007,,,,10/02/2007,08/02/2007,,,E05000131,Cantelowes,529523.98,184757.7,-0.133473,51.546866,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.546866, -0.133473)",20105,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001224,Temporary Event Notice,Torriano,"71  73 TORRIANO AVENUE, LONDON, NW5 2SG",LA2003,Application Approved,No,16/04/2007,,,,14/04/2007,12/04/2007,,,E05000139,Kentish Town,529548.11,185131.6,-0.132987,51.550221,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.550221, -0.132987)",19956,http://opendatacommunities.org/id/london-borough-council/camden
GGN\00092,Gaming Notification,Old Oak,"1 MANSFIELD ROAD, LONDON, NW3 2JD",GA2005,Application Approved,No,,,,,,28/01/2008,,,E05000134,Gospel Oak,528279.2,185599.66,-0.151107,51.554717,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.554717, -0.151107)",8283,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\000714,Late Temporary Event Notice,Haverstock School,"24 HAVERSTOCK SCHOOL HAVERSTOCK HILL, LONDON, NW3 2BQ",LA2003,Application Approved,No,14/02/2014,,,,18/02/2014,13/02/2014,,Camden Town,E05000136,Haverstock,528121.72,184523.75,-0.153769,51.545084,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.545084, -0.153769)",33549,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000473,Temporary Event Notice,Ingestre Road Community Centre,"INGESTRE ROAD COMMUNITY CENTRE INGESTRE ROAD, LONDON, NW5 1UX",LA2003,Application Approved,No,03/07/2006,,,,28/06/2006,26/06/2006,,,E05000139,Kentish Town,528843.63,185701.53,-0.142933,51.555504,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.555504, -0.142933)",20641,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\004081,Temporary Event Notice,Eleanor Primary School,"ELEANOR PALMER PRIMARY SCHOOL LUPTON STREET, LONDON, NW5 2JA",LA2003,Application Approved,No,28/10/2009,,,,29/10/2009,27/10/2009,,,E05000139,Kentish Town,529119.07,185634.55,-0.138987,51.554839,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.554839, -0.138987)",17283,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\002632,Premises - Variation of DPS,Old Oak,"1 MANSFIELD ROAD, LONDON, NW3 2JD",LA2003,Application Approved In Full,No,28/12/2012,,,,13/12/2012,29/11/2012,,,E05000134,Gospel Oak,528279.2,185599.66,-0.151107,51.554717,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.554717, -0.151107)",23844,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000110,Temporary Event Notice,Ingestre Road Community Centre,"INGESTRE ROAD COMMUNITY CENTRE INGESTRE ROAD, LONDON, NW5 1UX",LA2003,Application Approved,No,03/02/2006,,,,04/02/2006,02/02/2006,,,E05000139,Kentish Town,528843.63,185701.53,-0.142933,51.555504,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.555504, -0.142933)",20974,http://opendatacommunities.org/id/london-borough-council/camden
043666,Street Trading  - Renewal Application,QC72,"Queen's Crescent, London,",N/A,Open,No,,,,,,03/08/2010,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",36201,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000209,Premises - New Licence,The Curry Centre,"225 BRECKNOCK ROAD, LONDON, N19 5AA",LA2003,Application Rejected - Incomplete Documentation,No,,,,,13/12/2005,15/11/2005,25/11/2005,,E05000139,Kentish Town,529147.5,185781.26,-0.138523,51.556151,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.556151, -0.138523)",29778,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009118,Temporary Event Notice,Bartholomew Road,"1 BARTHOLOMEW ROAD, LONDON, NW5 2AH",LA2003,Application Approved,No,21/03/2013,,,,25/03/2013,20/03/2013,,,E05000131,Cantelowes,529041.13,184620.21,-0.140482,51.545741,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.545741, -0.140482)",12512,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010903,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,Application Approved,No,10/11/2014,,,,12/11/2014,07/11/2014,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.543877, -0.132175)",10920,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\000853,Late Temporary Event Notice,Colonel Fawcett,"1 RANDOLPH STREET, LONDON, NW1 0SS",LA2003,Application Rejected,No,,,,,19/06/2014,16/06/2014,17/06/2014,,E05000131,Cantelowes,529363.05,184171.91,-0.136007,51.541639,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.541639, -0.136007)",33418,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\000053,Premises - Variation of DPS,02 Forum,"9  17 HIGHGATE ROAD, LONDON, NW5 1JY",LA2003,Application Approved In Full,No,13/12/2005,,,,06/12/2005,22/11/2005,,,E05000139,Kentish Town,528923.29,185300.87,-0.141932,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.551885, -0.141932)",26274,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010025,Temporary Event Notice,Muya Restaurant,"13 BRECKNOCK ROAD, LONDON, N7 0BL",LA2003,Application Approved,No,13/01/2014,,,,15/01/2014,10/01/2014,,,E05000139,Kentish Town,529743.41,184998.68,-0.130221,51.548982,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.548982, -0.130221)",11707,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-CONV\000477,Premises - Conversion of Licence,Peckwater Estate Tenant & R.A,"4 PECKWATER STREET, LONDON, NW5 2UP",LA2003,Application Rejected - Incomplete Documentation,No,,,,,06/08/2005,08/07/2005,14/07/2005,,E05000139,Kentish Town,529191.07,185148.97,-0.138127,51.550459,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.550459, -0.138127)",31365,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\011960,Temporary Event Notice,Chalk Farm Grill,"18 HAVERSTOCK HILL, LONDON, NW3 2BL",LA2003,Application Approved,No,19/10/2015,,,,22/10/2015,18/10/2015,,Camden Town,E05000136,Haverstock,528190.18,184432.25,-0.152816,51.544246,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.544246, -0.152816)",9961,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007684,Temporary Event Notice,Vine,"86 HIGHGATE ROAD, LONDON, NW5 1PB",LA2003,Application Approved,No,19/03/2012,,,,16/03/2012,14/03/2012,,,E05000139,Kentish Town,528724.43,185624.2,-0.14468,51.554836,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.554836, -0.14468)",13875,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003625,Temporary Event Notice,Colonel Fawcett,"1 RANDOLPH STREET, LONDON, NW1 0SS",LA2003,Application Rejected,No,,,,,26/05/2009,24/05/2009,27/05/2009,,E05000131,Cantelowes,529363.05,184171.91,-0.136007,51.541639,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.541639, -0.136007)",17743,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\011870,Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,30/09/2015,,,,02/10/2015,29/09/2015,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.543994, -0.151855)",10045,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009180,Temporary Event Notice,CAMDEN SCHOOL FOR GIRLS,"CAMDEN SCHOOL FOR GIRLS SANDALL ROAD, LONDON, NW5 2DB",LA2003,Application Approved,No,24/04/2013,,,,25/04/2013,22/04/2013,,,E05000131,Cantelowes,529442.33,184663.58,-0.134684,51.546039,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.546039, -0.134684)",12455,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARY(T)\000363,Premises - Variation of Licence (Transition),Admiral Mann,"9 HARGRAVE PLACE, LONDON, N7 0BP",LA2003,Variation Withdrawn (Conv Granted),Yes,26/09/2005,,,13/09/2005,18/08/2005,21/07/2005,,,E05000139,Kentish Town,529710.88,185036.15,-0.130676,51.549326,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.549326, -0.130676)",26488,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\001736,Late Temporary Event Notice,St Luke's Church,"CHURCH OF ST LUKE WITH ST PAUL OSENEY CRESCENT, LONDON, NW5 2BE",LA2003,Application Approved,No,09/05/2016,,,,11/05/2016,06/05/2016,,,E05000139,Kentish Town,529495.04,184929.65,-0.133826,51.548418,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.548418, -0.133826)",32594,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010882,Temporary Event Notice,Made in Brasil Boteco (formerly Coco Bamboo),"48 CHALK FARM ROAD, LONDON, NW1 8AJ",LA2003,Application Approved,No,04/11/2014,,,,06/11/2014,03/11/2014,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.54314, -0.148383)",10940,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006077,Temporary Event Notice,The Monarch,"40  42 CHALK FARM ROAD, LONDON, NW1 8BG",LA2003,Application Approved,No,09/02/2011,,,,10/02/2011,08/02/2011,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.54314, -0.148383)",15347,http://opendatacommunities.org/id/london-borough-council/camden
