,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
56,Destination,Sovereign,2012_Sovereign_Chester Arms,51.530415999999995,-0.141208,2012-08-20
57,Origin,Chester Arms,2012_Sovereign_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
58,Destination,Balans Restaurant,2012_Balans Restaurant_Chester Arms,51.513596,-0.127317,2012-07-06
59,Origin,Chester Arms,2012_Balans Restaurant_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
60,Destination,Flesh and Buns (previously Kitchen Italia),2012_Flesh and Buns (previously Kitchen Italia)_Chester Arms,51.514056,-0.12601400000000001,2012-07-06
61,Origin,Chester Arms,2012_Flesh and Buns (previously Kitchen Italia)_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
62,Destination,King William The Fourth,2012_King William The Fourth_Chester Arms,51.555440999999995,-0.176922,2012-07-02
63,Origin,Chester Arms,2012_King William The Fourth_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
64,Destination,Old Oak,2012_Old Oak_Chester Arms,51.554717,-0.151107,2012-06-25
65,Origin,Chester Arms,2012_Old Oak_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
66,Destination,Sir Robert Peel,2012_Sir Robert Peel_Chester Arms,51.549575,-0.15285,2012-07-02
67,Origin,Chester Arms,2012_Sir Robert Peel_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
68,Destination,Love & Liquor,2012_Love & Liquor_Chester Arms,51.536709,-0.19143,2012-07-02
69,Origin,Chester Arms,2012_Love & Liquor_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
70,Destination,Rossopomodoro,2012_Rossopomodoro_Chester Arms,51.513243,-0.127366,2012-07-06
71,Origin,Chester Arms,2012_Rossopomodoro_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
72,Destination,The Blues Kitchen,2012_The Blues Kitchen_Chester Arms,51.536691,-0.141465,2012-02-07
73,Origin,Chester Arms,2012_The Blues Kitchen_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
