,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
54,Destination,Regina Hair & Sun Studios,2012_Regina Hair & Sun Studios_Regina Hair & Sun Studios,51.55523,-0.145474,2012-05-22
55,Origin,Regina Hair & Sun Studios,2012_Regina Hair & Sun Studios_Regina Hair & Sun Studios,51.55523,-0.145474,2012-05-22
56,Destination,Fitness First Clubs Ltd,2014_Fitness First Clubs Ltd_Fitness First Clubs Ltd,51.523677,-0.12488699999999998,2014-01-16
57,Origin,Fitness First Clubs Ltd,2014_Fitness First Clubs Ltd_Fitness First Clubs Ltd,51.523677,-0.12488699999999998,2014-01-16
58,Destination,China Herbal House WH Ltd,2014_China Herbal House WH Ltd_Fitness First Clubs Ltd,51.548891,-0.190675,2014-11-19
59,Origin,Fitness First Clubs Ltd,2014_China Herbal House WH Ltd_Fitness First Clubs Ltd,51.523677,-0.12488699999999998,2014-01-16
60,Destination,ART OF CAMDEN SHOP,2016_ART OF CAMDEN SHOP_ART OF CAMDEN SHOP,51.541171000000006,-0.13830399999999998,2016-10-20
61,Origin,ART OF CAMDEN SHOP,2016_ART OF CAMDEN SHOP_ART OF CAMDEN SHOP,51.541171000000006,-0.13830399999999998,2016-10-20
62,Destination,ART OF CAMDEN,2016_ART OF CAMDEN_ART OF CAMDEN SHOP,51.541171000000006,-0.13830399999999998,2016-10-20
63,Origin,ART OF CAMDEN SHOP,2016_ART OF CAMDEN_ART OF CAMDEN SHOP,51.541171000000006,-0.13830399999999998,2016-10-20
