,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
39,Origin,Marks & Spencer Simply Food,2013_Ice Wharf - Lloyds No 1_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
40,Destination,Bounce,2013_Bounce_Marks & Spencer Simply Food,51.518529,-0.108519,2013-02-28
41,Origin,Marks & Spencer Simply Food,2013_Bounce_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
42,Destination,Sir John Oldcastle,2013_Sir John Oldcastle_Marks & Spencer Simply Food,51.520437,-0.106431,2013-03-28
43,Origin,Marks & Spencer Simply Food,2013_Sir John Oldcastle_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
44,Destination,Humaira Restaurant,2013_Humaira Restaurant_Marks & Spencer Simply Food,51.527983,-0.12475,2013-11-27
45,Origin,Marks & Spencer Simply Food,2013_Humaira Restaurant_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
46,Destination,All Star Lanes,2013_All Star Lanes_Marks & Spencer Simply Food,51.519286,-0.12206700000000001,2013-10-18
47,Origin,Marks & Spencer Simply Food,2013_All Star Lanes_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
48,Destination,Penderel's Oak,2013_Penderel's Oak_Marks & Spencer Simply Food,51.517858000000004,-0.11538599999999999,2013-05-04
49,Origin,Marks & Spencer Simply Food,2013_Penderel's Oak_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
50,Destination,Marks & Spencer Simply Food,2013_Marks & Spencer Simply Food_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
51,Origin,Marks & Spencer Simply Food,2013_Marks & Spencer Simply Food_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
52,Destination,Marks And Spencers Limited,2015_Marks And Spencers Limited_Sainsbury's Supermarket,51.53803,-0.192551,2015-06-16
53,Origin,Sainsbury's Supermarket,2015_Marks And Spencers Limited_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
54,Destination,Sainsbury's Supermarkets Ltd,2015_Sainsbury's Supermarkets Ltd_Sainsbury's Supermarket,51.535228000000004,-0.138658,2015-07-30
55,Origin,Sainsbury's Supermarket,2015_Sainsbury's Supermarkets Ltd_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
56,Destination,Oddbins,2015_Oddbins_Sainsbury's Supermarket,51.555365,-0.173758,2015-01-20
57,Origin,Sainsbury's Supermarket,2015_Oddbins_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
58,Destination,Sainsburys Supermarket Ltd,2015_Sainsburys Supermarket Ltd_Sainsbury's Supermarket,51.518567,-0.11580399999999999,2015-07-29
59,Origin,Sainsbury's Supermarket,2015_Sainsburys Supermarket Ltd_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
60,Destination,Spread Eagle,2015_Spread Eagle_Sainsbury's Supermarket,51.537762,-0.14571199999999998,2015-07-28
61,Origin,Sainsbury's Supermarket,2015_Spread Eagle_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
62,Destination,Worlds End,2015_Worlds End_Sainsbury's Supermarket,51.539219,-0.141978,2015-02-27
63,Origin,Sainsbury's Supermarket,2015_Worlds End_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
64,Destination,Sainsbury's Supermarket,2015_Sainsbury's Supermarket_Sainsbury's Supermarket,51.524257,-0.137096,2015-01-16
65,Origin,Sainsbury's Supermarket,2015_Sainsbury's Supermarket_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
66,Destination,Marks and Spencer Simply Food (2),2015_Marks and Spencer Simply Food (2)_Sainsbury's Supermarket,51.529302,-0.13258499999999998,2015-12-18
67,Origin,Sainsbury's Supermarket,2015_Marks and Spencer Simply Food (2)_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
68,Destination,Charles Dickens Museum,2015_Charles Dickens Museum_Sainsbury's Supermarket,51.523551,-0.11578,2015-05-10
69,Origin,Sainsbury's Supermarket,2015_Charles Dickens Museum_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
70,Destination,Grosvenor Casino,2015_Grosvenor Casino_Sainsbury's Supermarket,51.521776,-0.12359300000000001,2015-09-11
71,Origin,Sainsbury's Supermarket,2015_Grosvenor Casino_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
72,Destination,"All Bar One, One Euston Square","2015_All Bar One, One Euston Square_Sainsbury's Supermarket",51.527632000000004,-0.13303199999999998,2015-02-19
73,Origin,Sainsbury's Supermarket,"2015_All Bar One, One Euston Square_Sainsbury's Supermarket",51.5267795,-0.13484049999999997,2015-01-16
74,Destination,Sevilla Mia,2015_Sevilla Mia_Sainsbury's Supermarket,51.516921999999994,-0.132023,2015-05-03
75,Origin,Sainsbury's Supermarket,2015_Sevilla Mia_Sainsbury's Supermarket,51.5267795,-0.13484049999999997,2015-01-16
76,Destination,Oddbins,2017_Oddbins_LAS IGUANAS,51.549255,-0.140701,2017-03-27
77,Origin,LAS IGUANAS,2017_Oddbins_LAS IGUANAS,51.524397,-0.12385,2017-01-26
78,Destination,LAS IGUANAS,2017_LAS IGUANAS_LAS IGUANAS,51.524397,-0.12385,2017-01-26
79,Origin,LAS IGUANAS,2017_LAS IGUANAS_LAS IGUANAS,51.524397,-0.12385,2017-01-26
80,Destination,Break Point (previously known as C.K.News),2017_Break Point (previously known as C.K.News)_LAS IGUANAS,51.515044,-0.126064,2017-03-13
81,Origin,LAS IGUANAS,2017_Break Point (previously known as C.K.News)_LAS IGUANAS,51.524397,-0.12385,2017-01-26
82,Destination,"Hotel Chocolat, Unit CG 04 B","2017_Hotel Chocolat, Unit CG 04 B_LAS IGUANAS",51.531959,-0.12365,2017-04-25
83,Origin,LAS IGUANAS,"2017_Hotel Chocolat, Unit CG 04 B_LAS IGUANAS",51.524397,-0.12385,2017-01-26
84,Destination,Crown & Anchor,2017_Crown & Anchor_LAS IGUANAS,51.514247999999995,-0.125254,2017-05-01
85,Origin,LAS IGUANAS,2017_Crown & Anchor_LAS IGUANAS,51.524397,-0.12385,2017-01-26
86,Destination,Bull And Last,2012_Bull And Last_Bull And Last,51.559104999999995,-0.148742,2012-01-12
87,Origin,Bull And Last,2012_Bull And Last_Bull And Last,51.559104999999995,-0.148742,2012-01-12
88,Destination,The Jack Horner,2012_The Jack Horner_Bull And Last,51.51831,-0.131671,2012-03-23
89,Origin,Bull And Last,2012_The Jack Horner_Bull And Last,51.559104999999995,-0.148742,2012-01-12
90,Destination,Camden Food Co,2012_Camden Food Co_Bull And Last,51.531959,-0.12365,2012-08-17
