,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Siam Body and Soul,2012_Siam Body and Soul_Siam Body and Soul,51.529095,-0.130104,2012-01-25
1,Origin,Siam Body and Soul,2012_Siam Body and Soul_Siam Body and Soul,51.529095,-0.130104,2012-01-25
2,Destination,Mirrors Novotel London St Pancras,2010_Mirrors Novotel London St Pancras_Mirrors Novotel London St Pancras,51.528687,-0.128402,2010-01-15
3,Origin,Mirrors Novotel London St Pancras,2010_Mirrors Novotel London St Pancras_Mirrors Novotel London St Pancras,51.528687,-0.128402,2010-01-15
