,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
7175,045729,Street Trading - Temporary Site Application,,"kentish town road, N7 9LN",,Open,No,,,,,,2011-04-26,,,E05000131,Cantelowes,529837.43,184915.12,-0.128897,51.548209,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548209, -0.128897)",35963,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin045729
14775,047710,Street Trading - Temporary Site Application,Gails,"64 Hampstead High Street, London, NW3 1QH",,Open,No,,,,,,2012-06-22,,,E05000135,Hampstead Town,526385.31,185716.08,-0.178368,51.55619,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55619, -0.178368)",35764,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047710
15001,046711,Street Trading - Temporary Site Application,IN18,"Inverness Street, London,",,Open,No,,,,,,2011-05-10,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",35803,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046711
23319,046511,Street Trading - Temporary Site Application,FC88,"178-182 Camden High Street, London, NW1 8QP",,Open,No,,,,,,2011-08-26,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539688, -0.142772)",35809,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046511
35281,046705,Street Trading - Temporary Site Application,LL123,"Leather Lane, London,",,Open,No,,,,,,2011-09-29,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35806,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046705
35457,046919,Street Trading - Temporary Site Application,Queens Crescent Market,"Queen's Crescent, London,",,Open,No,,,,,,2011-12-16,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",35784,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046919
