,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
5756,APP\LATE-TEN\002008,Late Temporary Event Notice,British Film Institute,"21 STEPHEN STREET, LONDON, W1T 1LW",LA2003,Application Approved,No,14/12/2016,,,,19/12/2016,2016-12-14,,,E05000129,Bloomsbury,529658.98,181501.2,-0.132725,51.51757,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.51757, -0.132725)",32338,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\002008
5758,APP\LATE-TEN\001864,Late Temporary Event Notice,New Academic Building,"LINCOLNS INN NEW HALL LINCOLN'S INN FIELDS, LONDON, WC2A 3TL",LA2003,Application Approved,No,20/09/2016,,,,23/09/2016,2016-09-20,,,E05000138,Holborn and Covent Garden,530919.27,181414.88,-0.114603,51.516504,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516504, -0.114603)",32471,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001864
5776,APP\LATE-TEN\001336,Late Temporary Event Notice,Department of Coffee and Social Affairs,"14  16 LEATHER LANE, LONDON, EC1N 7SU",LA2003,Application Approved,No,21/07/2015,,,,23/07/2015,2015-07-20,,,E05000138,Holborn and Covent Garden,531263.93,181767.91,-0.109508,51.519597,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.519597, -0.109508)",32970,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001336
5805,APP\LATE-TEN\000523,Late Temporary Event Notice,Bloc Bar (Formerly Record Club/The Stillery,"18 KENTISH TOWN ROAD, LONDON, NW1 9NX",LA2003,Application Approved,No,06/11/2013,,,,08/11/2013,2013-05-11,,Camden Town,E05000130,Camden Town with Primrose Hill,528951.8,183997.31,-0.141998,51.540164000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.540164, -0.141998)",33731,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000523
5810,APP\LATE-TEN\001909,Late Temporary Event Notice,Hozi Restaurant,"25  27 THEOBALD'S ROAD, LONDON, WC1X 8SP",LA2003,Application Approved,No,26/10/2016,,,,27/10/2016,2016-10-24,,,E05000138,Holborn and Covent Garden,530692.5,181775.04,-0.117736,51.519793,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.519793, -0.117736)",32430,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001909
5819,APP\LATE-TEN\001372,Late Temporary Event Notice,Lyttelton Arms,"1 CAMDEN HIGH STREET, LONDON, NW1 7JE",LA2003,Application Approved,No,14/09/2015,,,,14/09/2015,2015-09-09,,Camden Town,E05000142,Regent's Park,529129.52,183417.31,-0.139649,51.534911,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.534911, -0.139649)",32939,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001372
5837,APP\LATE-TEN\001181,Late Temporary Event Notice,Birkbeck College (Malet St),"UNIVERSITY OF LONDON BIRKBECK COLLEGE MALET STREET, LONDON, WC1E 7HX",LA2003,Application Approved,No,19/03/2015,,,,24/03/2015,2015-03-19,,,E05000129,Bloomsbury,529789.01,182025.36,-0.130659,51.522251000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.522251, -0.130659)",33116,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001181
5843,APP\LATE-TEN\001431,Late Temporary Event Notice,Wesley House,"4 WILD COURT, LONDON, WC2B 4AU",LA2003,Application Approved,No,28/10/2015,,,,30/10/2015,2015-10-27,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",32884,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001431
5867,APP\LATE-TEN\001011,Late Temporary Event Notice,Fairly Square,"51 RED LION STREET, LONDON, WC1R 4PF",LA2003,Application Approved,No,14/11/2014,,,,18/11/2014,2014-11-13,,,E05000138,Holborn and Covent Garden,530692.5,181775.04,-0.117736,51.519793,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.519793, -0.117736)",33277,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001011
5894,APP\LATE-TEN\000206,Late Temporary Event Notice,Lord Stanley,"51 CAMDEN PARK ROAD, LONDON, NW1 9BH",LA2003,Application Rejected,No,,,,,06/12/2012,2012-03-12,04/12/2012,,E05000131,Cantelowes,529789.87,184839.7,-0.12961,51.547542,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.547542, -0.12961)",34014,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000206
