,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
534,APP\PREMISES-VARY\000813,Premises Licence -  Variation Application,McDonalds,"4 HARBEN PARADE FINCHLEY ROAD, LONDON, NW3 6JP",LA2003,Application Approved In Full,No,02/10/2013,,,,13/09/2013,2013-08-16,,,E05000144,Swiss Cottage,526552.75,184414.61,-0.176422,51.544457,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.544457, -0.176422)",21334,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000813
557,APP\PREMISES-VARY\000972,Premises Licence -  Variation Application,Terroni & Son,"138 140 CLERKENWELL ROAD, LONDON, EC1R 5DL",LA2003,Application Approved In Full,Yes,13/07/2016,,,02/08/2016,05/07/2016,2016-07-06,,,E05000138,Holborn and Covent Garden,531287.4,182086.91,-0.109051,51.522458,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.522458, -0.109051)",21184,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000972
602,APP\PREMISES-VARY\000901,Premises Licence -  Variation Application,Reverend JW Simpson,"32  34 GOODGE STREET, LONDON, W1T 2QJ",LA2003,Application Partially Approved,Yes,27/10/2015,,,15/09/2015,03/07/2015,2015-05-06,,,E05000129,Bloomsbury,529468.36,181750.5,-0.135379,51.519855,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519855, -0.135379)",21252,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000901
688,APP\PREMISES-VARY\000649,Premises Licence -  Variation Application,The Kitchen Stores,"35 MILL LANE, LONDON, NW6 1NB",LA2003,Application Approved In Full,No,10/10/2011,,,,01/10/2011,2011-03-09,,,E05000132,Fortune Green,525033.34,185208.25,-0.19803900000000002,51.551927,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.551927, -0.198039)",21487,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000649
699,APP\PREMISES-VARY\000314,Premises Licence -  Variation Application,Smugglers Tavern,"28 WARREN STREET, LONDON, W1T 5ND",LA2003,Application Withdrawn,Yes,,,,30/01/2008,10/01/2008,2007-12-13,,,E05000129,Bloomsbury,529087.01,182151.41,-0.140725,51.523545,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.523545, -0.140725)",21794,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000314
744,APP\PREMISES-VARY\000294,Premises Licence -  Variation Application,Flight Club,"55  59 ALBION HOUSE NEW OXFORD STREET, LONDON, WC1A 1BS",LA2003,Application Approved In Full,No,01/11/2007,,,,31/10/2007,2007-03-10,,Seven Dials,E05000138,Holborn and Covent Garden,530049.4,181415.57,-0.127133,51.516711,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516711, -0.127133)",21812,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000294
765,APP\PREMISES-VARY\000846,Premises Licence -  Variation Application,Cafe Metro,"178 182 CAMDEN HIGH STREET, LONDON, NW1 8QP",LA2003,Application Withdrawn,Yes,,,,22/07/2014,18/06/2014,2014-05-21,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.539688, -0.142772)",21303,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000846
776,APP\PREMISES-VARY\000175,Premises Licence -  Variation Application,Pasty Shop,"EUSTON RAILWAY STATION EVERSHOLT STREET, LONDON, NW1 2HS",LA2003,Application Approved,No,14/09/2006,,,,13/09/2006,2006-08-16,,,E05000143,St Pancras and Somers Town,529635.38,182806.0,-0.13258499999999998,51.529302,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.529302, -0.132585)",21925,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000175
836,APP\PREMISES-VARY\000169,Premises Licence -  Variation Application,King's Cross Snooker Club,"275 PENTONVILLE ROAD, LONDON, N1 9NL",LA2003,Application Partially Approved,No,26/09/2006,,,,01/09/2006,2006-04-08,,,E05000141,King's Cross,530402.16,182980.44,-0.121473,51.530693,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.530693, -0.121473)",21930,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000169
944,APP\PREMISES-VARY\000980,Premises Licence -  Variation Application,"Hampstead Connect, Hampstead Service Area","104A FINCHLEY ROAD, LONDON, NW3 5EY",LA2003,Application Approved In Full,Yes,04/08/2016,,,25/08/2016,29/07/2016,2016-01-07,,,E05000133,Frognal and Fitzjohns,526503.94,184525.07,-0.177086,51.54546,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.54546, -0.177086)",21176,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000980
990,APP\PREMISES-VARY\000669,Premises Licence -  Variation Application,Leighton Food & Wine,"91 LEIGHTON ROAD, LONDON, NW5 2QJ",LA2003,Application Rejected,Yes,28/03/2012,,,01/03/2012,17/01/2012,2011-12-20,28/03/2012,,E05000139,Kentish Town,529323.66,185206.65,-0.136195,51.550947,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.550947, -0.136195)",21469,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000669
1047,APP\PREMISES-VARY\000789,Premises Licence -  Variation Application,Illy's Supermarket,"44 CRICKLEWOOD BROADWAY, LONDON, NW2 3ET",LA2003,Application Rejected,Yes,,,,13/06/2013,22/05/2013,2013-04-24,11/07/2013,,E05000132,Fortune Green,524102.98,185370.58,-0.211394,51.553591,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.553591, -0.211394)",21357,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000789
1143,APP\PREMISES-VARY\000043,Premises Licence -  Variation Application,Made In Brasil,"12 INVERNESS STREET, LONDON, NW1 7HJ",LA2003,Application Approved In Full,No,06/12/2005,,,,16/11/2005,2005-10-19,,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.540039, -0.144497)",22044,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000043
1156,APP\PREMISES-VARY\000152,Premises Licence -  Variation Application,Fishworks,"57 REGENT'S PARK ROAD, LONDON, NW1 8XD",LA2003,Application Partially Approved,Yes,11/08/2006,,,,03/08/2006,2006-06-07,,,E05000130,Camden Town with Primrose Hill,527831.92,184041.77,-0.158121,51.540818,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.540818, -0.158121)",21944,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000152
1172,APP\PREMISES-VARY\000893,Premises Licence -  Variation Application,Caps & Taps,"130 KENTISH TOWN ROAD, LONDON, NW1 9QB",LA2003,Application Approved In Full,No,11/06/2015,,,14/05/2015,24/04/2015,2015-03-27,,,E05000131,Cantelowes,529008.65,184633.75,-0.14094600000000002,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.54587, -0.140946)",21260,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000893
1198,APP\PREMISES-VARY\000433,Premises Licence -  Variation Application,Parkers,"109 KINGSWAY, LONDON, WC2B 6PP",LA2003,Application Approved In Full,No,27/02/2009,,,,25/02/2009,2009-01-28,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21687,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000433
1269,APP\PREMISES-VARY\000656,Premises Licence -  Variation Application,Griffin,"125 CLERKENWELL ROAD, LONDON, EC1R 5DB",LA2003,Application Approved In Full,No,25/10/2011,,,,21/10/2011,2011-09-23,,,E05000138,Holborn and Covent Garden,531082.83,181956.55,-0.112046,51.521334,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.521334, -0.112046)",21482,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000656
1276,APP\PREMISES-VARY\000455,Premises Licence -  Variation Application,Sir Christopher Hatton,"4 LEATHER LANE, LONDON, EC1N 7RA",LA2003,Application Withdrawn,Yes,,,,27/05/2009,01/05/2009,2009-03-04,,,E05000138,Holborn and Covent Garden,531335.61,181650.94,-0.108519,51.518529,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.518529, -0.108519)",21667,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000455
1403,APP\PREMISES-VARY\000300,Premises Licence -  Variation Application,Kings Cross Post Office,"BELGROVE HOUSE BELGROVE STREET, LONDON, WC1H 8AA",LA2003,Application Approved In Full,No,06/12/2007,,,,14/11/2007,2007-10-17,,,E05000141,King's Cross,530292.6,182876.41,-0.12309,51.529783,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.529783, -0.12309)",21806,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000300
1419,APP\PREMISES-VARY\000063,Premises Licence -  Variation Application,Mcglynn's,"3   5 WHIDBORNE STREET, LONDON, WC1H 8ET",LA2003,Application Rejected,Yes,,,,06/01/2006,13/12/2005,2005-11-15,17/02/2006,,E05000141,King's Cross,530264.05,182745.8,-0.12355,51.528616,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.528616, -0.12355)",22026,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000063
