,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
10307,044740,Street Trading - New Application,,"Eton Avenue, London,",,Open,No,,,,,,2010-07-12,,,E05000144,Swiss Cottage,526676.18,184342.5,-0.17466900000000002,51.543781,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.543781, -0.174669)",36042,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044740
10647,044452,Street Trading - New Application,Inverness Street Market - Monday to Saturday,"Inverness Street, London,",,Open,No,,,,,,2010-09-08,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",36072,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044452
10904,044489,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2010-12-07,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36066,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044489
11236,045407,Street Trading - New Application,Inverness Street Market - Monday to Saturday,"Inverness Street, London,",,Open,No,,,,,,2011-04-03,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",35995,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045407
11823,045356,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2011-02-21,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36004,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045356
12035,045408,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2011-02-03,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35994,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045408
12831,047227,Street Trading - New Application,LL127,"Leather Lane, London,",,Open,No,,,,,,2012-08-03,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35777,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047227
12924,044742,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2010-08-12,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36041,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044742
12968,045581,Street Trading - New Application,LLS67,"Leather Lane, London,",,Open,No,,,,,,2011-01-04,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35981,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045581
13732,045417,Street Trading - New Application,Inverness Street Market - Monday to Saturday,"Inverness Street, London,",,Open,No,,,,,,2011-09-03,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",35992,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045417
