,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
23197,APP\PREMISES-VARY(T)\000513,Premises - Variation of Licence (Transition),The Camden Head,"100 CAMDEN HIGH STREET, LONDON, NW1 0LU",LA2003,Application Partially Approved,Yes,02/11/2005,,,19/09/2005,23/08/2005,2005-07-26,,Camden Town,E05000130,Camden Town with Primrose Hill,529027.28,183739.2,-0.141005,51.537827,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.537827, -0.141005)",26365,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000513
23224,APP\PREMISES-VARY(T)\000509,Premises - Variation of Licence (Transition),Assembly House,"292 294 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Variation Withdrawn (Conv Granted),Yes,22/09/2005,,,,01/09/2005,2005-04-08,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.551065, -0.140306)",26368,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000509
23228,APP\PREMISES-VARY(T)\000225,Premises - Variation of Licence (Transition),Skinners Arms,"114 JUDD STREET, LONDON, WC1H 9NT",LA2003,Application Partially Approved,Yes,18/08/2005,,,12/08/2005,22/07/2005,2005-06-23,,,E05000141,King's Cross,530182.62,182673.24,-0.12475,51.527983,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.527983, -0.12475)",26608,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000225
23257,APP\PREMISES-VARY(T)\000267,Premises - Variation of Licence (Transition),Sainsburys Supermarket Ltd,"71 MID CITY PLACE HIGH HOLBORN, LONDON, WC1V 6EA",LA2003,Application Approved,No,04/08/2005,,,,31/07/2005,2005-03-07,,,E05000138,Holborn and Covent Garden,530830.04,181642.15,-0.11580399999999999,51.518567,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.518567, -0.115804)",26569,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000267
23259,APP\PREMISES-VARY(T)\000131,Premises - Variation of Licence (Transition),Sir Christopher Hatton,"4 LEATHER LANE, LONDON, EC1N 7RA",LA2003,Application Partially Approved,Yes,06/08/2005,,,18/07/2005,25/06/2005,2005-05-27,,,E05000138,Holborn and Covent Garden,531335.61,181650.94,-0.108519,51.518529,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.518529, -0.108519)",26683,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000131
23269,APP\PREMISES-VARY(T)\000431,Premises - Variation of Licence (Transition),Rosewood London (formerly Chancery Court Hotel),"252 HIGH HOLBORN, LONDON, WC1V 7EN",LA2003,Application Approved,No,25/08/2005,,,,24/08/2005,2005-07-27,,,E05000138,Holborn and Covent Garden,530701.27,181520.35,-0.117704,51.517503000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.517503, -0.117704)",26437,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000431
23285,APP\PREMISES-VARY(T)\000523,Premises - Variation of Licence (Transition),Queen's Head & Artichoke,"30  32 ALBANY STREET,",LA2003,Variation Refused (Conv Granted),Yes,,,,29/09/2005,03/09/2005,2005-06-08,,,E05000142,Regent's Park,528860.03,182396.98,-0.143906,51.525803,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.525803, -0.143906)",26356,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000523
23473,APP\PREMISES-VARY(T)\000163,Premises - Variation of Licence (Transition),All Bar One,"58 KINGSWAY, LONDON, WC2B 6DX",LA2003,Application Approved,No,26/07/2005,,,03/08/2005,09/07/2005,2005-10-06,,,E05000138,Holborn and Covent Garden,530599.22,181426.23,-0.119209,51.51668,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.51668, -0.119209)",26659,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000163
23531,APP\PREMISES-VARY(T)\000362,Premises - Variation of Licence (Transition),Antalya Turkish Cuisine,"99 105 SOUTHAMPTON ROW, LONDON, WC1B 4HH",LA2003,Application Approved,No,24/08/2005,,,,17/08/2005,2005-07-20,,,E05000138,Holborn and Covent Garden,530397.56,181815.73,-0.12197000000000001,51.520227,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.520227, -0.12197)",26489,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000362
23665,APP\PREMISES-VARY(T)\000467,Premises - Variation of Licence (Transition),Dublin Castle,"94 PARKWAY, LONDON, NW1 7AN",LA2003,Application Partially Approved,Yes,22/09/2005,,,22/09/2005,26/08/2005,2005-07-29,,Camden Town,E05000130,Camden Town with Primrose Hill,528701.03,183723.65,-0.14571199999999998,51.537762,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.537762, -0.145712)",26406,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000467
