,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
24923,APP\PREMISES-C-PREM\0082,Premises - Change of Premises Name,Giraffe World Kitchen,"KINGS CROSS SQUARE EUSTON ROAD,",LA2003,Application Approved In Full,No,04/05/2017,,,,,2017-04-20,,,E05000143,St Pancras and Somers Town,530248.55,182952.11,-0.123697,51.530474,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.530474, -0.123697)",31776,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0082
25170,APP\PREMISES-C-PREM\0046,Premises - Change of Premises Name,Smoking Goat,"7 DENMARK STREET, LONDON, WC2H 8LZ",LA2003,Application Approved In Full,No,19/12/2014,,,,,2014-12-19,,Seven Dials,E05000138,Holborn and Covent Garden,529900.15,181223.29,-0.129353,51.515018,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.515018, -0.129353)",31810,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0046
25456,APP\PREMISES-C-PREM\0050,Premises - Change of Premises Name,Gipsy Queen,"166 MALDEN ROAD, LONDON, NW5 4BS",LA2003,Application Approved In Full,No,15/04/2015,,,,,2015-04-15,,,E05000134,Gospel Oak,528040.16,185157.08,-0.15471400000000002,51.550794,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.550794, -0.154714)",31806,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0050
25876,APP\PREMISES-C-PREM\0072,Premises - Change of Premises Name,Tortilla,"5 BERNARD STREET, LONDON, WC1N 1LJ",LA2003,Application Approved In Full,No,17/08/2016,,,,,2016-11-08,,,E05000129,Bloomsbury,530177.89,182083.06,-0.12503599999999998,51.52268,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.52268, -0.125036)",31786,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0072
26943,APP\PREMISES-C-PREM\0073,Premises - Change of Premises Name,WOK and GO,"291 FINCHLEY ROAD, LONDON, NW3 6ND",LA2003,Application Approved In Full,No,21/09/2016,,,,,2016-09-21,,,E05000145,West Hampstead,526121.17,184925.27,-0.18245899999999998,51.549141999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.549142, -0.182459)",31785,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0073
28091,APP\PREMISES-C-PREM\0057,Premises - Change of Premises Name,Double J's Catering Ltd (formerly Regent Peking Cuisine),"333 EUSTON ROAD, LONDON, NW1 3AD",LA2003,Application Approved In Full,No,29/06/2015,,,,,2015-06-23,,,E05000129,Bloomsbury,529182.68,182248.85,-0.139311,51.524398,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.524398, -0.139311)",31799,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0057
28258,APP\PREMISES-C-PREM\0045,Premises - Change of Premises Name,Nikits (Previously Nikit News),"8 INVERNESS STREET, LONDON, NW1 7HJ",LA2003,Application Approved In Full,No,18/12/2014,,,,,2014-11-12,,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.540039, -0.144497)",31811,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0045
29656,APP\PREMISES-C-PREM\0067,Premises - Change of Premises Name,The T.E. Dingwall Building (Formerly Lock 17/Highlight),"EAST YARD CAMDEN LOCK PLACE, LONDON, NW1 8AL",LA2003,Application Approved In Full,No,22/06/2016,,,,,2016-06-22,,Camden Town,E05000130,Camden Town with Primrose Hill,528681.08,184131.14,-0.145851,51.541428,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.541428, -0.145851)",31790,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0067
30363,APP\PREMISES-C-PREM\0077,Premises - Change of Premises Name,Tropicana Beach Club,"166 NEW LONDON THEATRE DRURY LANE, LONDON, WC2B 5PF",LA2003,Application Approved In Full,No,23/12/2016,,,,,2016-09-21,,Seven Dials,E05000138,Holborn and Covent Garden,530390.33,181320.63,-0.12225699999999999,51.51578,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.51578, -0.122257)",31781,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0077
31189,APP\PREMISES-C-PREM\0012,Premises - Change of Premises Name,Love & Liquor,"34 KILBURN HIGH ROAD, LONDON, NW6 5UA",LA2003,Application Approved In Full,No,19/09/2012,,,,,2012-08-28,,,E05000140,Kilburn,525533.39,183527.2,-0.19143,51.536709,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.536709, -0.19143)",31841,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0012
31598,APP\PREMISES-C-PREM\0022,Premises - Change of Premises Name,ITV Services Ltd (formerly Carlton Comunication Ltd),"200 GRAY'S INN ROAD, LONDON, WC1X 8XZ",LA2003,Application Approved In Full,No,20/06/2013,,,,,2013-06-13,,,E05000138,Holborn and Covent Garden,530930.36,182178.07,-0.11416099999999998,51.52336,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.52336, -0.114161)",31831,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0022
31619,APP\PREMISES-C-PREM\0068,Premises - Change of Premises Name,Balans Restaurant,"3234 MONMOUTH STREET, LONDON, WC2H 9HA",LA2003,Application Approved In Full,No,23/06/2016,,,,,2016-05-18,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.513596, -0.127317)",31789,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0068
31892,APP\PREMISES-C-PREM\0017,Premises - Change of Premises Name,"Radisson Blu Edwardian, Kenilworth Hotel","94  97 GREAT RUSSELL STREET, LONDON, WC1B 3LB",LA2003,Application Approved In Full,No,22/11/2012,,,,,2012-11-15,,,E05000129,Bloomsbury,529925.45,181546.18,-0.12887,51.517914000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.517914, -0.12887)",31836,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0017
32639,APP\PREMISES-C-PREM\0051,Premises - Change of Premises Name,Simply Fish,"4 INVERNESS STREET, LONDON, NW1 7HJ",LA2003,Application Approved In Full,No,22/04/2015,,,,,2015-04-16,,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.540039, -0.144497)",31805,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0051
34076,APP\PREMISES-C-PREM\0058,Premises - Change of Premises Name,The Pack and Carriage (Formley known as Elixir),"162 EVERSHOLT STREET, LONDON, NW1 1BL",LA2003,Application Approved In Full,No,30/06/2015,,,,,2015-04-06,,,E05000143,St Pancras and Somers Town,529417.29,183099.69,-0.13561900000000002,51.531991,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.531991, -0.135619)",31798,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0058
34302,APP\PREMISES-C-PREM\0016,Premises - Change of Premises Name,"Radisson Blu Edwardian, Bloomsbury Street","9 BLOOMSBURY STREET, LONDON, WC1B 3QD",LA2003,Application Approved In Full,No,22/11/2012,,,,,2012-11-15,,,E05000129,Bloomsbury,529994.67,181497.34,-0.127891,51.517459,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.517459, -0.127891)",31837,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0016
35562,APP\PREMISES-C-PREM\0029,Premises - Change of Premises Name,Be At One,"55 CAMDEN HIGH STREET, LONDON, NW1 7JH",LA2003,Application Approved In Full,No,19/09/2013,,,,,2013-09-13,,Camden Town,E05000142,Regent's Park,529083.06,183480.97,-0.140296,51.535494,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.535494, -0.140296)",31825,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0029
36335,APP\PREMISES-C-PREM\0049,Premises - Change of Premises Name,Joe's Southern Table & Bar,"298 302 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved In Full,No,19/03/2015,,,,,2015-03-17,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.551065, -0.140306)",31807,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0049
