,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
19800,LPGMP-CONV\00006,LPGMP - Conversion Application,Gatehouse,"THE GATE HOUSE HIGHGATE WEST HILL, LONDON, N6 6DB",GA2005,Application Approved,No,11/02/2010,,,,03/02/2010,2010-01-20,,,E05000137,Highgate,528277.05,187460.59,-0.15045999999999998,51.571441,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.571441, -0.15046)",8095,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-CONV\00006
24419,LPGMP-CONV\00009,LPGMP - Conversion Application,O'Neills,"73  77 EUSTON ROAD, LONDON, NW1 2QS",GA2005,Application Approved,No,08/06/2010,,,,22/06/2010,2010-08-06,,,E05000141,King's Cross,530037.31,182728.95,-0.126822,51.528517,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.528517, -0.126822)",8092,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-CONV\00009
31134,LPGMP-CONV\00002,LPGMP - Conversion Application,The George,"250 HAVERSTOCK HILL, LONDON, NW3 2AE",GA2005,Application Approved,No,30/06/2009,,,,13/07/2009,2009-06-29,,,E05000135,Hampstead Town,527185.31,185348.78,-0.166968,51.55271,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.55271, -0.166968)",8099,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originLPGMP-CONV\00002
