,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
9839,052659,Massage and Special Treatment Renewal,California Nails Limited,"219D Finchley Road, London, NW3 6LP",,Open,No,08/03/2016,,,,,2016-08-03,,,E05000144,Swiss Cottage,526329.16,184647.86,-0.179561,51.546603000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546603, -0.179561)",35665,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin052659
9928,045776,Massage and Special Treatment Renewal,Mirrors Novotel London St Pancras,"100-110 Euston Road, London, NW1 2AJ",,Open,No,04/05/2011,,,,,2011-04-05,,,E05000143,St Pancras and Somers Town,529927.24,182745.09,-0.128402,51.528687,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.528687, -0.128402)",35958,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045776
11708,047690,Massage and Special Treatment Renewal,Ritz Health and Beauty,"43 Heath Street, London, NW3 6UA",,Open,No,19/06/2012,,,,,2012-06-19,,,E05000133,Frognal and Fitzjohns,526346.22,185769.41,-0.178912,51.556678000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.556678, -0.178912)",35765,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047690
12010,048327,Massage and Special Treatment Renewal,Omega Health Club,"141-145 Kentish Town Road, London, NW1 8PB",,Open,No,,,,,,2012-03-29,,,E05000130,Camden Town with Primrose Hill,528941.75,184533.22,-0.141947,51.544982,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.544982, -0.141947)",35751,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048327
12214,042480,Massage and Special Treatment Renewal,Bernardita Beauty Clinic Ltd,"48 Mill Lane, London, NW6 1NJ",,Open,No,15/04/2010,,,,,2010-04-15,,,E05000132,Fortune Green,524879.29,185114.36,-0.200293,51.551118,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.551118, -0.200293)",36383,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042480
12780,052980,Massage and Special Treatment Renewal,Hell to Pay Tattoo & Piercing Studio,"188 Camden High Street, London, NW1 8QP",,Open,No,06/05/2016,,,,,2016-06-05,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539688, -0.142772)",35662,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin052980
13127,043409,Massage and Special Treatment Renewal,Bibas Hair and Beauty,"72 Marchmont Street, London, WC1N 1AB",,Open,No,20/07/2010,,,,,2010-07-20,,,E05000129,Bloomsbury,530167.12,182389.54,-0.125078,51.525437,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.525437, -0.125078)",36298,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043409
13200,040567,Massage and Special Treatment Renewal,China Herbal House WH Ltd,"170 West End Lane, London, NW6 1SD",,Open,No,23/06/2009,,,,,2009-05-17,,,E05000145,West Hampstead,525552.24,184883.23,-0.190675,51.548891,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548891, -0.190675)",36411,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040567
13744,042486,Massage and Special Treatment Renewal,The Organic Pharmacy,"36 Neal Street, London, WC2H 9PS",,Open,No,,,,,,2010-04-16,,Seven Dials,E05000138,Holborn and Covent Garden,530186.77,181145.01,-0.125254,51.514247999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.514248, -0.125254)",36380,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042486
14216,045485,Massage and Special Treatment Renewal,Ginseng,"Finchley Road, London, NW3 6JP",,Open,No,24/03/2011,,,,,2011-03-24,,,E05000144,Swiss Cottage,526508.83,184421.48,-0.177052,51.544528,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.544528, -0.177052)",35984,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045485
15143,045289,Massage and Special Treatment Renewal,Covent Garden Hotel,"10 Monmouth Street, London, WC2H 9HB",,Open,No,10/02/2011,,,,,2011-10-02,,Seven Dials,E05000138,Holborn and Covent Garden,530047.28,181157.1,-0.12725799999999998,51.514389,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.514389, -0.127258)",36009,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045289
15383,042400,Massage and Special Treatment Renewal,Fern Skincare Ltd,"18 England's Lane, London, NW3 4TG",,Open,No,01/04/2010,,,,,2010-03-31,,,E05000128,Belsize,527578.03,184680.14,-0.161548,51.546611999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546612, -0.161548)",36388,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042400
15769,045694,Massage and Special Treatment Renewal,Tantalize Tanning & Beauty,"61 Camden Road, London, NW1 9EU",,Open,No,20/04/2011,,,,,2011-04-20,,,E05000131,Cantelowes,529188.17,184261.8,-0.138495,51.542487,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542487, -0.138495)",35966,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045694
16479,045699,Massage and Special Treatment Renewal,Beauty Nest & Nail Care,"Finchley Road, London, NW3 5EN",,Open,No,20/04/2011,,,,,2011-04-20,,,E05000133,Frognal and Fitzjohns,526627.5,184434.86,-0.175337,51.544622,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.544622, -0.175337)",35965,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045699
17842,055018,Massage and Special Treatment Renewal,Accurate Laser & Skin Aesthetics,"97 Gray's Inn Road, London, WC1X 8TX",,Open,No,28/03/2017,,,,,2017-03-28,,,E05000138,Holborn and Covent Garden,530817.46,182196.37,-0.11578,51.523551,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.523551, -0.11578)",35646,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin055018
19279,053034,Massage and Special Treatment Renewal,LOG SPA,"141-153 Drummond Street, London, NW1 2PB",,Open,No,,,,,,2016-12-05,,,E05000142,Regent's Park,529272.69,182476.31,-0.137931,51.526422,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.526422, -0.137931)",35661,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin053034
20536,045772,Massage and Special Treatment Renewal,Mirrors Novotel London St Pancras,"100-110 Euston Road, London, NW1 2AJ",,Open,No,,,,,,2011-04-05,,,E05000143,St Pancras and Somers Town,529927.24,182745.09,-0.128402,51.528687,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.528687, -0.128402)",35959,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045772
20614,042515,Massage and Special Treatment Renewal,J Hair,"54 Warren Street, London, W1T 5NN",,Open,No,19/04/2010,,,,,2010-04-19,,,E05000129,Bloomsbury,529182.68,182248.85,-0.139311,51.524398,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.524398, -0.139311)",36377,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042515
20625,048180,Massage and Special Treatment Renewal,Willow Hair,"3 Hampstead Lane, London, N6 4RS",,Open,No,05/10/2012,,,,,2012-05-10,,,E05000137,Highgate,528277.05,187460.59,-0.15045999999999998,51.571441,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.571441, -0.15046)",35753,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048180
20730,045677,Massage and Special Treatment Renewal,Bannatyne Fitness (7) Limited,"32 Woburn Place, London, WC1H 0JR",,Open,No,18/04/2011,,,,,2011-04-18,,,E05000129,Bloomsbury,530035.85,182280.2,-0.12700899999999998,51.524485,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.524485, -0.127009)",35971,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045677
21245,043404,Massage and Special Treatment Renewal,Regina Hair & Sun Studios,"101 Highgate Road, London, NW5 1TR",,Open,No,20/07/2010,,,,,2010-07-20,,,E05000137,Highgate,528668.25,185666.66,-0.145474,51.55523,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55523, -0.145474)",36300,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043404
21271,042505,Massage and Special Treatment Renewal,Hair Body & Beauty Clinic,"18 Lambolle Place, London, NW3 4PG",,Open,No,19/04/2010,,,,,2010-04-19,,,E05000128,Belsize,527356.53,184624.98,-0.164761,51.546167,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546167, -0.164761)",36379,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042505
21761,042507,Massage and Special Treatment Renewal,Camden Locks Hair & Beauty Ltd,"11 Chalk Farm Road, London, NW1 8AG",,Open,No,19/04/2010,,,,,2010-04-19,,Camden Town,E05000130,Camden Town with Primrose Hill,528663.85,184208.03,-0.146071,51.542123,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542123, -0.146071)",36378,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042507
21897,041333,Massage and Special Treatment Renewal,California Nails Limited,"78 Heath Street, London, NW3 1DN",,Open,No,,,,,,2009-10-09,,,E05000135,Hampstead Town,526394.72,185916.55,-0.17815999999999999,51.557990000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55799, -0.17816)",36396,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin041333
