,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1001,APP\PREMISES-TRANS\000390,Premises Licence - Transfer Application,Restaurant Ill Castelletto,"17 BURY PLACE, LONDON, WC1A 2JB",LA2003,Application Approved In Full,No,03/09/2008,,,,26/08/2008,2008-12-08,,Seven Dials,E05000138,Holborn and Covent Garden,530190.02,181576.91,-0.125048,51.518128999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.518129, -0.125048)",27849,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000390
1043,APP\PREMISES-TRANS\000320,Premises Licence - Transfer Application,Cantina Augusto (Clerkenwell Road) Plc,"91  95 CLERKENWELL ROAD, LONDON, EC1R 5BX",LA2003,Application Rejected,No,,,,,22/02/2008,2008-08-02,18/06/2008,,E05000138,Holborn and Covent Garden,531173.69,181983.52,-0.110728,51.521556,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.521556, -0.110728)",27914,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000320
1051,APP\PREMISES-TRANS\001470,Premises Licence - Transfer Application,Verdelin,"39 ENDELL STREET, LONDON, WC2H 9BA",LA2003,Application Approved In Full,No,27/05/2016,,,,03/06/2016,2016-05-20,,Seven Dials,E05000138,Holborn and Covent Garden,530211.81,181163.2,-0.12488599999999998,51.514406,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.514406, -0.124886)",26833,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001470
1064,APP\PREMISES-TRANS\000307,Premises Licence - Transfer Application,Blackheart (Prev  Camden Tup),"2   3 GREENLAND PLACE, LONDON, NW1 0AP",LA2003,Application Approved In Full,No,12/02/2008,,,,11/02/2008,2008-01-28,,Camden Town,E05000130,Camden Town with Primrose Hill,528966.15,183826.35,-0.141854,51.538624,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.538624, -0.141854)",27925,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000307
1097,APP\PREMISES-TRANS\001069,Premises Licence - Transfer Application,Compagnie des Vins Surnaturel,"8  10 NEAL'S YARD, LONDON, WC2H 9DP",LA2003,Application Approved In Full,No,20/05/2013,,,,03/05/2013,2013-04-19,,Seven Dials,E05000138,Holborn and Covent Garden,530096.62,181164.76,-0.126545,51.514446,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.514446, -0.126545)",27206,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001069
1119,APP\PREMISES-TRANS\001154,Premises Licence - Transfer Application,Old Bell,"38 KILBURN HIGH ROAD, LONDON, NW6 5UA",LA2003,Application Approved In Full,No,18/11/2013,,,,14/11/2013,2013-10-31,,,E05000140,Kilburn,525481.83,183581.34,-0.192154,51.537207,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.537207, -0.192154)",27136,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001154
1140,APP\PREMISES-TRANS\000842,Premises Licence - Transfer Application,Red Rooms,"4 GREAT QUEEN STREET, LONDON, WC2B 5DJ",LA2003,Application Approved In Full,No,14/11/2011,,,,11/11/2011,2011-10-28,,,E05000138,Holborn and Covent Garden,530599.22,181426.23,-0.119209,51.51668,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.51668, -0.119209)",27419,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000842
1164,APP\PREMISES-TRANS\001405,Premises Licence - Transfer Application,A-SAUCE LIMITED,"47 MUSEUM STREET, LONDON, WC1A 1LY",LA2003,Application Rejected,No,13/11/2015,,,,11/11/2015,2015-10-28,,Seven Dials,E05000138,Holborn and Covent Garden,530192.71,181527.78,-0.125027,51.517687,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.517687, -0.125027)",26894,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001405
1178,APP\PREMISES-TRANS\000703,Premises Licence - Transfer Application,Black Cap,"171 CAMDEN HIGH STREET, LONDON, NW1 7JY",LA2003,Application Approved In Full,No,14/10/2010,,,,13/10/2010,2010-09-29,,Camden Town,E05000130,Camden Town with Primrose Hill,528919.45,183783.2,-0.142543,51.538247,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.538247, -0.142543)",27550,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000703
1179,APP\PREMISES-TRANS\000220,Premises Licence - Transfer Application,Bunga Bunga (Fomerly The Drury Club Basement),"167 DRURY LANE, LONDON, WC2B 5PG",LA2003,Application Approved In Full,No,26/07/2007,,,,19/07/2007,2007-05-07,,Seven Dials,E05000138,Holborn and Covent Garden,530390.33,181320.63,-0.12225699999999999,51.51578,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.51578, -0.122257)",28005,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000220
