,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
29731,APP\PREMISES-VARYDPS\000761,Premises - Variation of DPS,Bull And Last,"168 THE BULL AND LAST PH HIGHGATE ROAD, LONDON, NW5 1QS",LA2003,Application Approved In Full,No,16/10/2007,,,,29/08/2007,2007-08-15,,,E05000137,Highgate,528430.83,186091.76,-0.148742,51.559104999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.559105, -0.148742)",25609,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\000761
29748,APP\PREMISES-VARYDPS\000325,Premises - Variation of DPS,MERE,"74 CHARLOTTE STREET, LONDON, W1T 4QH",LA2003,Application Approved In Full,No,21/09/2006,,,,05/07/2006,2006-06-21,,,E05000129,Bloomsbury,529405.96,181839.98,-0.136245,51.520672999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.520673, -0.136245)",26022,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\000325
29752,APP\PREMISES-VARYDPS\002048,Premises - Variation of DPS,Tesco Belsize Park Express,"44  46 ENGLAND'S LANE, LONDON, NW3 4UE",LA2003,Application Approved In Full,No,01/06/2011,,,,31/03/2011,2011-03-17,,,E05000128,Belsize,527510.84,184606.71,-0.162543,51.545968,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.545968, -0.162543)",24395,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\002048
29787,APP\PREMISES-VARYDPS\001576,Premises - Variation of DPS,"Radisson Blu Edwardian, Bloomsbury Street","9 BLOOMSBURY STREET, LONDON, WC1B 3QD",LA2003,Application Approved In Full,No,04/01/2010,,,,17/11/2009,2009-03-11,,,E05000129,Bloomsbury,529994.67,181497.34,-0.127891,51.517459,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.517459, -0.127891)",24844,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\001576
29795,APP\PREMISES-VARYDPS\003070,Premises - Variation of DPS,PizzaExpress,"99 HIGH HOLBORN, LONDON, WC1V 6LF",LA2003,Application Approved In Full,No,18/01/2014,,,,17/01/2014,2014-03-01,,,E05000138,Holborn and Covent Garden,530646.99,181604.17,-0.11845499999999999,51.518268,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.518268, -0.118455)",23439,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\003070
29796,APP\PREMISES-VARYDPS\002060,Premises - Variation of DPS,Vue Cinema,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",LA2003,Application Approved In Full,No,06/05/2011,,,,20/04/2011,2011-06-04,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.547698, -0.181321)",24384,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\002060
29814,APP\PREMISES-VARYDPS\000855,Premises - Variation of DPS,Washington Hotel,"50 ENGLAND'S LANE, LONDON, NW3 4UE",LA2003,Application Approved In Full,No,26/11/2007,,,,23/11/2007,2007-09-11,,,E05000128,Belsize,527480.61,184595.74,-0.162983,51.545876,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.545876, -0.162983)",25520,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\000855
29818,APP\PREMISES-VARYDPS\002283,Premises - Variation of DPS,Fitzrovia Belle (previously Mortimer Arms),"174 TOTTENHAM COURT ROAD, LONDON, W1T 7NT",LA2003,Application Approved In Full,No,09/01/2012,,,,26/12/2011,2011-12-12,,,E05000129,Bloomsbury,529442.25,182097.14,-0.135628,51.522976,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.522976, -0.135628)",24174,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\002283
29859,APP\PREMISES-VARYDPS\002883,Premises - Variation of DPS,School of Oriental and African Studies Union,"10 SCHOOL OF ORIENTAL AND AFRICAN STUDIES THORNHAUGH STREET, LONDON, WC1H 0XG",LA2003,Application Approved In Full,No,15/08/2013,,,,08/08/2013,2013-07-25,,,E05000129,Bloomsbury,529889.27,182044.99,-0.129207,51.522405,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.522405, -0.129207)",23609,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\002883
29877,APP\PREMISES-VARYDPS\000246,Premises - Variation of DPS,Tesco Express,"196 206 CAMDEN ROAD, LONDON, NW1 9HG",LA2003,Application Approved In Full,No,05/02/2007,,,,17/04/2006,2006-03-04,,,E05000131,Cantelowes,529535.61,184598.93,-0.133363,51.545437,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.545437, -0.133363)",26098,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\000246
