,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
32847,APP\PREMISES-REV\000081,Premises - Review of Licence,Gilgamesh,"THE STABLES MARKET CHALK FARM ROAD, LONDON, NW1 8AH",LA2003,Review Ended - Conditions Modified on Licence,No,,,,02/02/2012,18/01/2012,2012-04-01,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.542256, -0.14816)",28293,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000081
33003,APP\PREMISES-REV\000087,Premises - Review of Licence,"Proud  Camden, The Horse Hospital","THE STABLES MARKET CHALK FARM ROAD, LONDON, NW1 8AH",LA2003,Review Ended - Conditions Modified on Licence,Yes,,,,06/11/2012,25/10/2012,2012-11-10,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.542256, -0.14816)",28287,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000087
33582,APP\PREMISES-REV\000068,Premises - Review of Licence,Best One Limtied,"22 LAMBTON HOUSE FORTESS ROAD, LONDON, NW5 2HA",LA2003,Application Approved,No,,,,13/10/2011,05/09/2011,2011-08-08,,,E05000139,Kentish Town,529015.39,185365.81,-0.14057999999999998,51.552448,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.552448, -0.14058)",28305,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000068
33834,APP\PREMISES-REV\000022,Premises - Review of Licence,Victoria Food & Wine,"248 HAVERSTOCK HILL, LONDON, NW3 2AE",LA2003,Application Withdrawn,Yes,,,,06/11/2007,12/10/2007,2007-09-14,,,E05000135,Hampstead Town,527194.33,185295.67,-0.166857,51.55223,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.55223, -0.166857)",28344,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000022
33918,APP\PREMISES-REV\000118,Premises - Review of Licence,Victoria Food & Wine,"151 KING'S CROSS ROAD, LONDON, WC1X 9BN",LA2003,Review Ended - Conditions Modified on Licence,No,,,,30/04/2015,07/04/2015,2015-10-03,,,E05000141,King's Cross,530714.4,182910.05,-0.11699999999999999,51.529988,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.529988, -0.117)",28259,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000118
34077,APP\PREMISES-REV\000111,Premises - Review of Licence,Silk (formerly Anodos Night Spot Ltd),"7   9 PRATT STREET, LONDON, NW1 0AE",LA2003,Review Ended - Conditions Modified on Licence,No,,,,03/04/2014,20/03/2014,2014-06-03,,Camden Town,E05000130,Camden Town with Primrose Hill,529027.28,183739.2,-0.141005,51.537827,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.537827, -0.141005)",28266,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000111
34079,APP\PREMISES-REV\000077,Premises - Review of Licence,113 Restaurant & Bar,"111 113 HAMPSTEAD ROAD, LONDON, NW1 3EE",LA2003,Review Ended - Conditions Modified on Licence,No,,,,07/03/2012,22/12/2011,2011-11-24,,,E05000142,Regent's Park,529184.17,182645.2,-0.139145,51.52796,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.52796, -0.139145)",28296,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000077
34107,APP\PREMISES-REV\000064,Premises - Review of Licence,Mango Room,"10  12 KENTISH TOWN ROAD, LONDON, NW1 9NX",LA2003,Review Ended - No change to Licence,No,,,,16/06/2011,19/05/2011,2011-04-21,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.539688, -0.142772)",28309,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000064
34126,APP\PREMISES-REV\000069,Premises - Review of Licence,William Hill,"155 157 QUEEN'S CRESCENT, LONDON, NW5 4EA",LA2003,Application Withdrawn,No,,,,26/01/2012,26/09/2011,2011-08-26,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.550168, -0.151636)",28304,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000069
34636,APP\PREMISES-NEW\000382,Premises - Review of Licence,WOK and GO,"291 FINCHLEY ROAD, LONDON, NW3 6ND",LA2003,Review Ended - Conditions Modified on Licence,No,13/09/2006,,,13/09/2006,06/05/2006,2006-08-04,,,E05000145,West Hampstead,526121.17,184925.27,-0.18245899999999998,51.549141999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.549142, -0.182459)",29629,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000382
34848,APP\PREMISES-REV\000100,Premises - Review of Licence,Sir Robert Peel,"108 MALDEN ROAD, LONDON, NW5 4DA",LA2003,Application Withdrawn,No,,,,08/08/2013,15/07/2013,2013-06-17,,,E05000134,Gospel Oak,528172.82,185024.79,-0.15285,51.549575,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.549575, -0.15285)",28276,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000100
35143,APP\PREMISES-REV\000033,Premises - Review of Licence,The Gallery,"190 BROADHURST GARDENS, LONDON, NW6 3AY",LA2003,Review Ended - Conditions Modified on Licence,No,,,,09/06/2008,23/04/2008,2008-03-26,,,E05000145,West Hampstead,525573.66,184635.19,-0.19045499999999999,51.546657,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.546657, -0.190455)",28338,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000033
35198,APP\PREMISES-REV\000084,Premises - Review of Licence,Super Choice,"151 QUEEN'S CRESCENT, LONDON, NW5 4ED",LA2003,Review Ended - Revocation of Licence,No,,,,26/07/2012,29/06/2012,2012-01-06,,,E05000134,Gospel Oak,528193.34,185071.4,-0.15253699999999998,51.549989000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.549989, -0.152537)",28290,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000084
35234,APP\PREMISES-REV\000049,Premises - Review of Licence,The Late Late Store,"60 BELSIZE LANE, LONDON, NW3 5AR",LA2003,Review Ended - Conditions Modified on Licence,Yes,,,,11/11/2009,16/10/2009,2009-09-18,,,E05000133,Frognal and Fitzjohns,526847.35,184995.02,-0.171967,51.549607,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.549607, -0.171967)",28322,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000049
35382,APP\PREMISES-REV\000119,Premises - Review of Licence,Madina Halal Supermarket (formerly Buywise Express),"167 169 KENTISH TOWN ROAD, LONDON, NW1 8PD",LA2003,Review Ended - Revocation of Licence,Yes,,,,16/06/2015,22/05/2015,2015-04-24,,,E05000139,Kentish Town,528908.35,184637.93,-0.14239000000000002,51.545931,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.545931, -0.14239)",28258,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000119
