,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
5881,048046,Street Trading  - Variation,Goodge Place Market,"Goodge Place, London,",,Open,No,,,,,,2012-10-09,,,E05000129,Bloomsbury,529392.85,181727.74,-0.136475,51.519667,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.519667, -0.136475)",35757,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048046
25549,045387,Street Trading  - Variation,TRM1,"Theobald's Road, London,",,Open,No,,,,,,2011-02-28,,,E05000138,Holborn and Covent Garden,530499.09,181751.94,-0.120531,51.519631,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.519631, -0.120531)",36001,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin045387
35193,045385,Street Trading  - Variation,LL055,"Leather Lane, London,",,Open,No,,,,,,2011-02-28,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36002,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin045385
