,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
11272,LPGMP-VARY\00006,LPGMP - Variation Application,Sir John Oldcastle,"29  35 FARRINGDON POINT FARRINGDON ROAD, LONDON, EC1M 3JF",GA2005,Application Approved,No,,,,,19/03/2016,2016-05-03,,,E05000138,Holborn and Covent Garden,531474.99,181866.79,-0.106431,51.520437,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.520437, -0.106431)",8065,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-VARY\00006
21868,LPGMP-VARY\00002,LPGMP - Variation Application,Ice Wharf - Lloyds No 1,"28 CAMDEN WHARF JAMESTOWN ROAD, LONDON, NW1 7BY",GA2005,Application in Progress,No,,,,,06/07/2012,2012-06-22,,Camden Town,E05000130,Camden Town with Primrose Hill,528724.04,184057.19,-0.145258,51.540754,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.540754, -0.145258)",8069,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originLPGMP-VARY\00002
22158,LPGMP-VARY\00003,LPGMP - Variation Application,Unicorn,"227 CAMDEN ROAD, LONDON, NW1 9AA",GA2005,Application Approved In Full,No,,,,,03/01/2014,2013-12-20,,,E05000139,Kentish Town,529772.57,184964.12,-0.129813,51.548664,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.548664, -0.129813)",8068,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-VARY\00003
24833,LPGMP-VARY\00004,LPGMP - Variation Application,Rocket,"120 EUSTON ROAD, LONDON, NW1 2AL",GA2005,Application Approved In Full,No,,,,,01/08/2014,2014-07-18,,,E05000143,St Pancras and Somers Town,529856.65,182698.78,-0.129436,51.528287,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.528287, -0.129436)",8067,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-VARY\00004
29148,LPGMP-VARY\00005,LPGMP - Variation Application,Rocket,"120 EUSTON ROAD, LONDON, NW1 2AL",GA2005,Application Approved In Full,No,,,,,25/06/2015,2015-11-06,,,E05000143,St Pancras and Somers Town,529856.65,182698.78,-0.129436,51.528287,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.528287, -0.129436)",8066,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-VARY\00005
