,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
6128,APP\PREMISES-NEW\000748,Premises - New Licence,Costa Coffee,"ST PANCRAS INTERNATIONAL STATION PANCRAS ROAD, LONDON, NW1 2QP",LA2003,Application Approved In Full,No,07/01/2009,,,,06/01/2009,2008-09-12,,,E05000143,St Pancras and Somers Town,530197.94,182977.59,-0.12441600000000001,51.530714,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.530714, -0.124416)",29327,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000748
6129,APP\PREMISES-NEW\000917,Premises - New Licence,"Zizzi, Unit 10","8 CENTRAL SAINT GILES PIAZZA, LONDON, WC2H 8AB",LA2003,Application Approved In Full,No,28/06/2010,,,,25/06/2010,2010-05-28,,Seven Dials,E05000138,Holborn and Covent Garden,529970.54,181316.14,-0.128305,51.515836,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.515836, -0.128305)",29169,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000917
6148,APP\PREMISES-NEW\001267,Premises - New Licence,Wagamama,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",LA2003,Application Approved In Full,No,12/02/2013,,,,14/02/2013,2013-01-17,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.547698, -0.181321)",28865,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001267
6170,APP\PREMISES-NEW\000660,Premises - New Licence,"Start, c/o Artsline","54 CHALTON STREET, LONDON, NW1 1HS",LA2003,Application Rejected - Incomplete Documentation,No,,,,,23/05/2008,2008-04-25,30/04/2008,,E05000143,St Pancras and Somers Town,529852.62,182855.63,-0.129437,51.529697999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.529698, -0.129437)",29406,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000660
6186,APP\PREMISES-NEW\000090,Premises - New Licence,Marks & Spencer Simply Food,"KINGS CROSS RAILWAY STATION EUSTON ROAD, LONDON, N1 9AP",LA2003,Application Approved In Full,No,07/12/2005,,,,26/10/2005,2005-09-28,,,E05000143,St Pancras and Somers Town,530247.52,183117.31,-0.12365,51.531959,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.531959, -0.12365)",29880,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000090
6195,APP\PREMISES-NEW\001634,Premises - New Licence,Daughter,"289 291 KENTISH TOWN ROAD, LONDON, NW5 2JS",LA2003,Application Approved In Full,Yes,29/02/2016,,,23/02/2016,29/02/2016,2016-01-02,,,E05000139,Kentish Town,528950.78,184994.83,-0.141647,51.549129,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.549129, -0.141647)",28529,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001634
6220,APP\PREMISES-NEW\000532,Premises - New Licence,Valencia Cafe,"74 MARCHMONT STREET, LONDON, WC1N 1AB",LA2003,Application Rejected,Yes,,,,,07/08/2007,2007-10-07,09/08/2007,,E05000129,Bloomsbury,530167.12,182389.54,-0.125078,51.525437,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.525437, -0.125078)",29507,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000532
6232,APP\PREMISES-NEW\001520,Premises - New Licence,Tesco Express,"34 KILBURN HIGH ROAD, LONDON, NW6 5UA",LA2003,Application Rejected,Yes,,,,11/06/2015,14/05/2015,2015-04-16,06/10/2015,,E05000140,Kilburn,525533.39,183527.2,-0.19143,51.536709,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.536709, -0.19143)",28634,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001520
6235,APP\PREMISES-NEW\001283,Premises - New Licence,JW3,"341351 JEWISH COMMUNITY CENTRE FINCHLEY ROAD, LONDON, NW3 6ET",LA2003,Application Approved In Full,No,09/05/2013,,,,22/04/2013,2013-03-25,,,E05000145,West Hampstead,525954.49,185128.2,-0.184789,51.551003,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.551003, -0.184789)",28852,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001283
6286,APP\PREMISES-NEW\000466,Premises - New Licence,MERE,"74 CHARLOTTE STREET, LONDON, W1T 4QH",LA2003,Application Partially Approved,Yes,07/03/2007,,,07/03/2007,08/02/2007,2007-11-01,,,E05000129,Bloomsbury,529405.96,181839.98,-0.136245,51.520672999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.520673, -0.136245)",29562,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000466
6321,APP\PREMISES-NEW\001363,Premises - New Licence,MEAT LONDON LIMITED,"147 FORTESS ROAD, LONDON, NW5 2HR",LA2003,Application Approved In Full,No,14/02/2014,,,,13/02/2014,2014-01-16,,,E05000139,Kentish Town,529097.8,185793.5,-0.139235,51.556272,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.556272, -0.139235)",28776,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001363
6324,APP\PREMISES-NEW\000514,Premises - New Licence,"Start, c/o Artsline","54 CHALTON STREET, LONDON, NW1 1HS",LA2003,Application Approved In Full,No,30/05/2007,,,,29/05/2007,2007-01-05,,,E05000143,St Pancras and Somers Town,529852.62,182855.63,-0.129437,51.529697999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.529698, -0.129437)",29523,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000514
6349,APP\PREMISES-NEW\000497,Premises - New Licence,South End Green,"SOUTH END GREEN SOUTH END GREEN,",LA2003,Application Rejected - Incomplete Documentation,No,,,,,11/05/2007,2007-04-13,17/04/2007,,E05000134,Gospel Oak,527311.32,185537.58,-0.16508299999999998,51.554378,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.554378, -0.165083)",29536,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000497
6363,APP\PREMISES-NEW\000454,Premises - New Licence,Sapori Italiani,"167 HAVERSTOCK HILL, LONDON, NW3 4QT",LA2003,Application Approved In Full,Yes,09/02/2007,,,24/01/2007,02/01/2007,2006-05-12,,,E05000128,Belsize,527379.59,185023.84,-0.16428399999999999,51.549746,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.549746, -0.164284)",29574,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000454
6373,APP\PREMISES-NEW\000388,Premises - New Licence,Rossodisera,"5 MONMOUTH STREET, LONDON, WC2H 9DA",LA2003,Application Approved In Full,No,23/08/2006,,,,21/08/2006,2006-07-24,,Seven Dials,E05000138,Holborn and Covent Garden,530128.31,181232.06,-0.126064,51.515044,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.515044, -0.126064)",29624,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000388
6411,APP\PREMISES-NEW\000413,Premises - New Licence,Square Pie,"9 BRUNSWICK CENTRE, LONDON, WC1N 1AF",LA2003,Application Partially Approved,Yes,24/10/2006,,,24/10/2006,27/09/2006,2006-08-30,,,E05000129,Bloomsbury,530329.82,182155.7,-0.12282,51.523298,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.523298, -0.12282)",29610,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000413
6412,APP\PREMISES-NEW\000284,Premises - New Licence,Paradise,"49 SOUTH END ROAD, LONDON, NW3 2QB",LA2003,Application Approved In Full,No,15/03/2006,,,,14/03/2006,2006-02-14,,,E05000135,Hampstead Town,527170.92,185644.07,-0.167068,51.555367,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.555367, -0.167068)",29710,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000284
6427,APP\PREMISES-NEW\001181,Premises - New Licence,Sandwich Shop,"79 PARKWAY, LONDON, NW1 7PP",LA2003,Application Rejected - Incomplete Documentation,No,,,,,12/07/2012,2012-06-14,20/06/2012,Camden Town,E05000130,Camden Town with Primrose Hill,528751.95,183639.94,-0.145009,51.536998,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.536998, -0.145009)",28945,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001181
6445,APP\PREMISES-NEW\000548,Premises - New Licence,Valencia Cafe,"74 MARCHMONT STREET, LONDON, WC1N 1AB",LA2003,Application Rejected,Yes,,,,,07/09/2007,2007-10-08,30/08/2007,,E05000129,Bloomsbury,530167.12,182389.54,-0.125078,51.525437,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.525437, -0.125078)",29492,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000548
