,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
10252,APP\SE-RENW\00304,Sex Establishment Renewal Application,Parkers,"109 KINGSWAY, LONDON, WC2B 6PP",LA2003,Application in Progress,Yes,,,,,28/11/2016,2016-10-31,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21088,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00304
11760,APP\SE-RENW\00294,Sex Establishment Renewal Application,Spearmint Rhino,"161 TOTTENHAM COURT ROAD, LONDON, W1T 7NN",LA2003,Application Approved,Yes,,,,16/02/2015,27/11/2015,2015-10-30,,,E05000129,Bloomsbury,529383.14,182142.58,-0.136463,51.523398,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.523398, -0.136463)",21097,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00294
12088,APP\SE-RENW\00299,Sex Establishment Renewal Application,Secrets (Parker St),"51 PARKER STREET, LONDON, WC2B 5PS",LA2003,Application Approved,Yes,,,,12/12/2016,18/10/2016,2016-09-20,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21093,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00299
13534,APP\SE-RENW\00302,Sex Establishment Renewal Application,Secrets (Gray's Inn Road),"4 GRAY'S INN ROAD, LONDON, WC1X 8HG",LA2003,Application Approved,No,,,,12/12/2016,01/11/2016,2016-04-10,,,E05000138,Holborn and Covent Garden,531153.32,181689.81,-0.11112999999999999,51.518921,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.518921, -0.11113)",21090,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00302
14551,APP\SE-RENW\00286,Sex Establishment Renewal Application,Griffin,"125 CLERKENWELL ROAD, LONDON, EC1R 5DB",LA2003,Hearing Date to be arranged,No,,,,,10/12/2014,2014-12-11,,,E05000138,Holborn and Covent Garden,531082.83,181956.55,-0.112046,51.521334,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.521334, -0.112046)",21103,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00286
14636,APP\SE-RENW\00277,Sex Establishment Renewal Application,Parkers,"109 KINGSWAY, LONDON, WC2B 6PP",LA2003,Application Partially Approved,Yes,15/01/2014,,,15/01/2014,27/11/2013,2013-10-30,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21110,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00277
17959,APP\SE-RENW\00284,Sex Establishment Renewal Application,Secrets (Parker St),"51 PARKER STREET, LONDON, WC2B 5PS",LA2003,Application Approved,Yes,,,,,18/11/2014,2014-10-21,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21105,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00284
18495,APP\SE-RENW\00280,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Application Approved,No,20/05/2014,,,20/05/2014,27/03/2014,2014-02-27,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21109,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00280
19061,APP\SE-RENW\00276,Sex Establishment Renewal Application,Red Rooms,"4 GREAT QUEEN STREET, LONDON, WC2B 5DJ",LA2003,Application Approved,No,,,,29/01/2014,27/11/2013,2013-10-30,29/01/2014,,E05000138,Holborn and Covent Garden,530599.22,181426.23,-0.119209,51.51668,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.51668, -0.119209)",21111,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00276
19104,APP\SE-RENW\00296,Sex Establishment Renewal Application,Parkers,"109 KINGSWAY, LONDON, WC2B 6PP",LA2003,Hearing Date to be arranged,No,,,,,23/03/2016,2016-02-24,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21095,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00296
